PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,LogGI50_M,LogGI50_u,LogGI50_V,IndnGI50,StddevGI50,LogTGI_M,LogTGI_u,LogTGI_V,IndnTGI,StddevTGI
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT
RESULT_DESCR,,,,,,,,"Log of the GI50 result, unit: M.","Log of the GI50 result, unit: ug/mL.","Log of the GI50 result, unit: Volumetric.",Number of tests averaged for the GI50 value for this NSC and cell line.,Standard Deviation of the Log10 of the GI50 result averaged across all tests for this NSC and cell line.,"Log of the TGI result, unit: M.","Log of the TGI result, unit: ug/mL.","Log of the TGI result, unit: Volumetric.",Number of tests averaged for the TGI value for this NSC and cell line.,Standard Deviation of the Log10 of the TGI result averaged across all tests for this NSC and cell line.
11413,491418,361030,CCOC(=O)C1=C(OCC1=O)NC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623764&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11414,491419,9555785,C1=CC=C(C(=C1)C(=O)N/N=C\2/C(C(=O)C(=O)N(C2=O)C3=NC=CS3)C4=NC5=CC=CC=C5S4)O,Inactive,9,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623765&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5302,,,1,0,-4,,,1,0
11415,491420,5464920,C1/C(=N/NC(=S)N)/C(C(=O)CN1C2=CC(=C(C=C2)Cl)Cl)C3=NC4=CC=CC=C4S3,Inactive,6,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623766&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.3457,,,1,0,-4,,,1,0
11416,491421,5464921,C1=CC=C2C(=C1)N=C(O2)C3/C(=N\NC(=O)NN)/C(=O)N(C(=O)C3=O)C4=CC(=C(C=C4)Cl)Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623767&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11417,491422,5479887,CC1=CC(=C(C=C1)C)N2C(=O)/C(=N/NC(=O)C3=CC=CC=C3O)/C(C(=O)C2=O)C4=NC5=CC=CC=C5O4,Inactive,16,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623768&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.9719,,,1,0,-4.5421,,,1,0
11418,491423,361035,COC(=O)C(=O)CC1=NC2=CC=CC=C2S1,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623769&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11419,491424,361036,C1=CC=C2C(=C1)N=C(S2)C3C(=O)C(=O)N(C(=O)C3=O)C4=CC(=C(C=C4)Cl)Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623770&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11420,491425,361037,CCOC1=CC=CC=C1N2C(=O)C(=O)C(C(=O)C2=O)C3=NC4=CC=CC=C4O3,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623771&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11421,491426,361038,CC1=C(C(=CC=C1)N2C(=O)C(=O)C(C(=O)C2=O)C3=NC4=CC=CC=C4S3)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623772&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11422,491427,361039,CCOC(=O)C(=O)NC1=CC(=C(C=C1)Cl)C(F)(F)F,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623773&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11423,491428,5479888,C1=CC=C2C(=C1)N=C(S2)C3/C(=N\NC(=O)CC#N)/C(=O)NC(=O)C3=O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623774&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11424,491431,361042,CC1CCC2C(=C)C(=O)O[C@H]3C24C1CCC(O3)(OO4)C,Inactive,18,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623785&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.1096,,,1,0,-4.6568,,,1,0
11425,491431,361042,CC1CCC2C(=C)C(=O)O[C@H]3C24C1CCC(O3)(OO4)C,Inactive,21,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623785&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.2524,,,1,0,-4.7567,,,1,0
11426,491432,5387454,CC1CCC2(CC1)NN=C3N(N2)C(=O)/C(=C/C4=CC=C(C=C4)O)/S3,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623786&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11427,491433,5387455,CC1CCC2(CC1)NN=C3N(N2)C(=O)/C(=C\C4=CC=C(C=C4)OC)/S3,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623787&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11428,491434,5387456,CCC1(NN=C2N(N1)C(=O)/C(=C\C3=CC=C(C=C3)OC)/S2)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623788&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11429,491435,5387457,COC1=CC=C(C=C1)/C=C/2\C(=O)N3C(=NNC(N3)C4=CC=C(C=C4)Cl)S2,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623789&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11430,491436,913916,COC1=CC=C(C=C1)/C=C\2/C(=O)N3CCN=C3S2,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623790&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11431,491437,962833,COC1=CC=C(C=C1)/C=C/2\C(=O)N3C(=NNC4(N3)CCCCC4)S2,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623791&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11432,491438,361049,CCN(CC)CCNC(=O)C1COC2=C(O1)C=C(C=C2)C3=CC(=O)C4=CC=CC=C4O3,Inactive,11,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623792&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.6571,,,2,0.022,-4.2195,,,2,0.0205
11433,491439,361050,CCOC(=O)C1COC2=C(O1)C=CC(=C2)C3=CC(=O)C4=CC=CC=C4O3,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623793&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11434,491440,361051,C1C(OC2=C(O1)C=C(C=C2)C3=CC(=O)C4=CC=CC=C4O3)C(=O)NCC5=CN=CC=C5,Inactive,14,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623794&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8654,,,3,0.3543,-4,,,3,0
11435,491441,361052,CN(C)CCNC(=O)C1COC2=C(O1)C=CC(=C2)C3=CC(=O)C4=CC=CC=C4O3.Cl,Inactive,6,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623795&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.3864,,,1,0,-4,,,1,0
11436,491442,361054,CCN(CC)CCCNC(=O)C1COC2=C(O1)C=CC(=C2)C3=CC(=O)C4=CC=CC=C4O3.Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623796&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11437,491443,361056,C1C(OC2=C(O1)C=C(C=C2)C3=CC(=O)C4=CC=CC=C4O3)C(=O)NCC5=CC=NC=C5,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623797&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11438,491445,361059,CN(C1C2CN3C1C(O2)CC3)C(=O)C4CC4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623833&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11439,491446,361060,CCCCCCCCC(=O)N(C)C1C2CN3C1C(O2)CC3,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623834&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11440,491447,5387458,CN(C1C2CN3C1C(O2)CC3)C(=O)/C=C/C4=CC=CC=C4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623835&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11441,491448,361062,CC(=CC(=O)N(C)C1C2CN3C1C(O2)CC3)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623836&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11442,491463,361063,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC=CC=C2OC)C3=C4C(=CC=C3)OCO4)C(=O)NC5=CC=CC=C5OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623867&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11443,491464,9569905,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)C2/C(=N/NC(=S)N)/C(=O)N(C2=O)C3=CC(=CC=C3)[N+](=O)[O-],Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623868&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11444,491465,361065,C1=CC(=CC=C1NC(=O)C2C(=O)C(=O)N(C2=O)C3=CC=C(C=C3)S(=O)(=O)N)S(=O)(=O)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623869&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11445,491466,361066,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC=CC=C2)C3=CC=CC4=CC=CC=C43)C(=O)NC5=CC=CC=C5,Inactive,11,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623870&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.6631,,,1,0,-4.2796,,,1,0
11446,491467,361067,COCCNC(=O)C1C(=O)C(=O)N(C1=O)CCOC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623871&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11447,491468,361068,CC1=C(C=CC(=C1)Cl)NC(=O)CCC(=O)OC,Inactive,2,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623872&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.1494,,,2,0.2113,-4,,,2,0
11448,491469,6105822,CC1=C(C(=CC=C1)C)NC(=O)C2/C(=N/N)/C(=O)N(C2=O)C3=C(C=CC=C3C)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623873&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11449,491470,9569906,C1=CC(=C(C=C1NC(=O)C2/C(=N/O)/C(=O)N(C2=O)C3=CC(=C(C=C3)Cl)Cl)Cl)Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623874&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11450,491471,5932521,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC=CC=C2OC)/C=C/C3=CC=CC=C3)C(=O)NC4=CC=CC=C4OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623875&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11451,491472,361072,C1=CC(=CC=C1NC(=O)CC(=O)NC2=CC=C(C=C2)S(=O)(=O)N)S(=O)(=O)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623876&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11452,491473,361073,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC=CC=C2OC)C3=CC=CC=C3F)C(=O)NC4=CC=CC=C4OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623877&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11453,491474,5386881,CCOC1=CC=C(C=C1)NC(=O)/C(=C\C2=CC=C(C=C2)C)/C(=O)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623878&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11454,491475,361074,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC=CC=C2OC)C3=CC=CO3)C(=O)NC4=CC=CC=C4OC,Inactive,20,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623879&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.1939,,,2,0.3747,-4.4889,,,2,0.3738
11455,491476,361075,COCCCNC(=O)C1C(=O)C(=O)N(C1=O)CCCOC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623880&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11456,491477,361076,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC=CC=C2OC)C3=CC=C(C=C3)C(C)C)C(=O)NC4=CC=CC=C4OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623881&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11457,491478,361077,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC=CC=C2OC)C3=CC=CC=C3Cl)C(=O)NC4=CC=CC=C4OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623882&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11458,491479,361078,CC1=C(C=CC(=C1)Cl)NC(=O)C2C(=O)C(=O)N(C2=O)C3=C(C=C(C=C3)Cl)C,Inactive,2,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623883&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.1275,,,1,0,-4,,,1,0
11459,491480,5464922,CCOC(=O)/C(=C(/C(=N\NC1=CC=CC(=C1)C(F)(F)F)/C(=O)OCC)\N)/C#N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623884&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11460,491481,361080,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC=CC=C2)C3=CC=CC=C3Cl)C(=O)NC4=CC=CC=C4,Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623885&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5777,,,1,0,-4.1444,,,1,0
11461,491482,361081,C1=CC(=CC(=C1)N2C(=O)C(=C(C(=N2)C(=O)O)N)C#N)C(F)(F)F,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623886&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11462,491483,361082,C1=CC(=CC=C1NC(=O)C2C(=O)C(=O)N(C2=O)C3=CC=C(C=C3)Cl)Cl,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623887&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11463,491484,2803966,CCOC(=O)C/C(=C(\C#N)/C(=O)OCC)/N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623888&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11464,491485,361084,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC=CC=C2)C3=CC=C(C=C3)C(C)C)C(=O)NC4=CC=CC=C4,Inactive,12,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623889&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.698,,,2,0.2569,-4.2332,,,2,0.3298
11465,491486,361085,CCC(=O)CC(=O)CCC(=O)NC1=C(C=CC(=C1)C)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623890&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11466,491487,361086,CC1=C(C=C(C=C1)N=CC2=CC3=C(C=C2)OCO3)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623891&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11467,491488,361087,CC1=CC(=C(C=C1)C)NC(=O)CCC(=O)CC(=O)C(C)(C)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623892&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11468,491489,361088,CCCNC(=O)C1C(=O)C(=O)N(C1=O)CCC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623893&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11469,491490,9569907,C1CCC(CC1)NC(=O)C2/C(=N/N)/C(=O)N(C2=O)C3CCCCC3,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623894&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11470,491491,9569908,CC1=C(C=CC(=C1)Cl)NC(=O)C2/C(=N/N)/C(=O)N(C2=O)C3=C(C=C(C=C3)Cl)C,Inactive,7,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623895&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.4329,,,1,0,-4,,,1,0
11471,491492,9569909,CC1=C(C=C(C=C1)NC(=O)C2/C(=N/NC(=O)N)/C(=O)N(C2=O)C3=CC(=C(C=C3)C)C)C,Inactive,6,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623896&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.3685,,,1,0,-4,,,1,0
11472,491493,361092,CC1=C(C(C(=C(N1)C)C(=O)NC2=C(C=CC(=C2)OC)OC)C3=CC=CC=C3)C(=O)NC4=C(C=CC(=C4)OC)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623897&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11473,491494,361093,CC(C)C1=CC=CC=C1N2C(=O)C(C(=O)C2=O)C(=O)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623898&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11474,491495,9569910,C1CCCC(CC1)NC(=O)C2/C(=N/O)/C(=O)N(C2=O)C3CCCCCC3,Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623899&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5758,,,1,0,-4.0312,,,1,0
11475,491496,361095,CC(=O)C1C(=O)C(=O)N(C1=O)C2=CC=CC=C2N3C(=O)C(C(=O)C3=O)C(=O)C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623900&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11476,491497,9569911,CC1=CC=CC=C1NC(=O)C2/C(=N/N)/C(=O)N(C2=O)C3=CC=CC=C3C,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623901&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11477,491498,5387466,C1=CC=C(C=C1)C(=O)N/C(=C/C2=CC(=CC=C2)[N+](=O)[O-])/C3=NC4=C(N3)C=C(C=C4)Cl,Inactive,16,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623902&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.9449,,,1,0,-4.002,,,1,0
11478,491499,5387467,C1=CC=C(C=C1)C(=O)N/C(=C\C2=CC=C(C=C2)/C=C(/C3=NC4=C(N3)C(=O)C5=CC=CC=C5C4=O)\N)/C6=NC7=C(N6)C(=O)C8=CC=CC=C8C7=O,Inactive,14,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623903&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.845,,,1,0,-4.4845,,,1,0
11479,491500,5387468,C1=CC=C(C=C1)C(=O)N/C(=C\C2=CC=C(C=C2)/C=C(\NC(=O)C3=CC=CC=C3)/C4=NC5=CC=CC=C5N4)/C6=NC7=CC=CC=C7N6,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623904&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11480,491501,135510066,CN(C)C1=CC=C(C=C1)/C=C(/C2=NC3=C(N2)C4=C(C=C3)C(=O)C5=CC=CC=C5C4=O)\NC(=O)C6=CC=CC=C6,Inactive,12,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623905&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.7435,,,1,0,-4,,,1,0
11481,581009,6477033,C1=CC=C(C=C1)C(=O)N/C(=C\C2=CC(=CC=C2)[N+](=O)[O-])/C3=NC4=C(N3)C(=O)NC(=S)N4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623906&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11482,491502,5387470,COC1=C(C=C(C=C1)/C=C(/C2=NC3=CC=CC=C3N2)\NC(=O)C4=CC=CC=C4)OC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623907&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11483,491503,5387471,C1=CC=C(C=C1)C(=O)N/C(=C\C2=C(C=CC(=C2)Cl)Cl)/C3=NC4=C(N3)C=C(C=C4)Cl,Inactive,15,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623908&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8849,,,1,0,-4.5419,,,1,0
11484,491504,6340133,C1=CC=C(C=C1)C2=N/C(=C/C=C/C3=CC=CO3)/C(=O)O2,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623909&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11485,491505,5387472,C1=CC(=CC(=C1)N)/C=C\2/C(=O)OC(=N2)C3=CC=C(C=C3)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623910&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11486,491506,5387473,CC(=O)N/C(=C\C1=CC=C(C=C1)/C=C(/C2=NC3=C(N2)C=C(C=C3)Cl)\NC(=O)C)/C4=NC5=CC=CC=C5N4,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623911&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11487,491507,5387474,C1=CC=C(C=C1)C(=O)N/C(=C\C2=CC=CC=C2Cl)/C3=NC4=CC=CC=C4N3,Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623912&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.6007,,,1,0,-4,,,1,0
11488,491508,5387475,C1=CC(=CC(=C1)[N+](=O)[O-])/C=C(/C2=NC3=C(N2)C=C(C=C3)Cl)\NC(=O)C4=CC=C(C=C4)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623913&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11489,491509,122090,CCCCCCCCCCCCCC(=O)NCC(OCC)OCC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623914&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
11490,491510,361108,CC(C)SC1=NC(=C(N1C)COC(=O)NC)COC(=O)NC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623917&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,3,0,-4,,,3,0
11491,491511,361109,CCSC1=NC(=C(N1C)COC(=O)NC)COC(=O)NC,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=623918&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0016,,,6,0.004,-4,,,6,0
