PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,LogGI50_M,LogGI50_u,LogGI50_V,IndnGI50,StddevGI50,LogTGI_M,LogTGI_u,LogTGI_V,IndnTGI,StddevTGI
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT
RESULT_DESCR,,,,,,,,"Log of the GI50 result, unit: M.","Log of the GI50 result, unit: ug/mL.","Log of the GI50 result, unit: Volumetric.",Number of tests averaged for the GI50 value for this NSC and cell line.,Standard Deviation of the Log10 of the GI50 result averaged across all tests for this NSC and cell line.,"Log of the TGI result, unit: M.","Log of the TGI result, unit: ug/mL.","Log of the TGI result, unit: Volumetric.",Number of tests averaged for the TGI value for this NSC and cell line.,Standard Deviation of the Log10 of the TGI result averaged across all tests for this NSC and cell line.
53596,440799080,155807326,COC1=CC2=C(C=C1)N(C=C2C3=NC(=CS3)C4=CNC5=C4C=CC=N5)CCCN6CCCCC6,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793991&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7516,,,1,0,-5.4533,,,1,0
53597,440795817,155805565,CN1C=C(C2=C1N=CC=C2)C3=CSC(=N3)C4=CN(C5=C4C=C(C=C5)Br)CCCN6CCCCC6,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793992&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7483,,,1,0,-5.4546,,,1,0
53598,440808238,155812551,C1CCN(CC1)CCCN2C=C(C3=C2C=CC(=C3)Br)C4=NC(=CS4)C5=CNC6=C5C=CC=N6,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793993&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7559,,,1,0,-5.4724,,,1,0
53599,440809594,155813254,CN1C=C(C2=C1N=CC=C2)C3=CSC(=N3)C4=CN(C5=CC=CC=C54)CCCN6CCCCC6,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=793994&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7407,,,1,0,-5.441,,,1,0
53600,440807626,155812157,CN1C=C(C2=C1N=CC=C2)C3=CSC(=N3)C4=CN(C5=CC=CC=C54)CCCCN6CCCCC6,Inactive,30,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794011&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7788,,,1,0,-5.4935,,,1,0
53601,440812978,155815191,CN1C=C(C2=C1N=CC=C2)C3=CSC(=N3)C4=CN(C5=C4C=C(C=C5)F)CCCCN6CCCCC6,Inactive,30,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794013&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7719,,,1,0,-5.4946,,,1,0
53602,440815219,155816453,CN1C=C(C2=C1N=CC=C2)C3=CSC(=N3)C4=CN(C5=C4C=C(C=C5)OC)CCCCN6CCCCC6,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794015&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7569,,,1,0,-5.4843,,,1,0
53603,440807745,130467655,CCCCC[C@H]1C/C=C/2\[C@@H](C/C=C\CCCC(=O)O1)C=C(C2=O)Cl,Inactive,38,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794093&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.3075,,,1,0,-5.9267,,,1,0
53604,440795891,130467373,CCCCC[C@@H]1OC(=O)CCC/C=C\C[C@@H]2/C(=C\C[C@@H](OC(=O)CCC/C=C\C[C@@H]3/C(=C\C1)/C(=O)C=C3)CCCCC)/C(=O)C=C2,Active,42,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794094&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.5394,,,1,0,-6.0853,,,1,0
53605,440813678,130467314,CCCCC[C@@H]1OC(=O)CCC/C=C\C[C@@H]2/C(=C\C[C@@H](OC(=O)CCC/C=C\C[C@@H]3/C(=C\C1)/C(=O)C(=C3)Cl)CCCCC)/C(=O)C(=C2)Cl,Active,41,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794095&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.4679,,,1,0,-6.0765,,,1,0
53606,440797081,130467730,C1CC(=O)O[C@H](C/C=C\2/C(=O)C(=C[C@@H]2C/C=C\CCCC(=O)O[C@H](C/C=C\3/C(=O)C(=C[C@@H]3C/C=C\C1)Cl)CCCCC(F)(F)F)Cl)CCCCC(F)(F)F,Active,44,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794096&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.6263,,,1,0,-6.0617,,,1,0
53607,440804737,155810493,CCCCC[C@H]1CC=C2[C@@H](CC=CCCCC(=O)O[C@H](CC=C3[C@@H](CC=CCCCC(=O)O[C@H](CC=C4[C@@H](CC=CCCCC(=O)O1)C=CC4=O)CCCCC)C=CC3=O)CCCCC)C=CC2=O,Active,42,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794097&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.5228,,,1,0,-5.7142,,,1,0
53608,440801264,155808543,CCCCC[C@H]1CC=C2[C@@H](CC=CCCCC(=O)O[C@H](CC=C3[C@@H](CC=CCCCC(=O)O[C@H](CC=C4[C@@H](CC=CCCCC(=O)O[C@H](CC=C5[C@@H](CC=CCCCC(=O)O1)C=CC5=O)CCCCC)C=CC4=O)C/C=C\CC)C=CC3=O)CCCCC)C=CC2=O,Inactive,27,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794100&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.6312,,,1,0,-5.1024,,,1,0
53609,440798964,44814409,C[C@H]1C[C@H](C[C@H](C1)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC=C4F)F,Inactive,14,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794109&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8255,,,1,0,-4.5035,,,1,0
53610,440804701,155810470,C[C@@]12CC/C=C(\CC[C@@H]3[C@@H]([C@@H]1O2)OC(=O)C3=C)/COC(=O)N[C@H](CC4=CNC5=CC=CC=C54)C(=O)OC,Inactive,23,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794111&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.3665,,,1,0,-4.7516,,,1,0
53611,440805518,155811000,C[C@@]12CC/C=C(\CC[C@@H]3[C@@H]([C@@H]1O2)OC(=O)C3=C)/COC(=O)NCCC4=CNC5=CC=CC=C54,Inactive,27,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794112&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.6427,,,1,0,-5.1666,,,1,0
53612,440804024,155810104,C[C@@]12CC/C=C(\CC[C@@H]3[C@@H]([C@@H]1O2)OC(=O)C3=C)/COC(=O)NCC4=CNC5=CC=CC=C54,Inactive,18,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794113&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.0774,,,1,0,-4.6102,,,1,0
53613,440801532,155808719,C[C@@]12CC/C=C(\CC[C@@H]3[C@@H]([C@@H]1O2)OC(=O)C3=C)/COC(=O)NCC4=CC5=CC=CC=C5N4,Inactive,28,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794114&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.6647,,,1,0,-5.2853,,,1,0
53614,440815122,155816387,COC1=CC=C(C=C1)C2C(=C(OC3=C2SC4=C3C=CC=C4F)N)C#N,Inactive,24,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794118&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.4437,,,1,0,-4.6622,,,1,0
53615,440799112,155807343,C1=CC2=C(C(=C1)F)SC3=C2OC(=C(C3C4=CC=C(C=C4)Cl)C#N)N,Inactive,25,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794120&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.472,,,1,0,-4.7902,,,1,0
53616,440807203,155811925,C1=CC=C(C=C1)C2=CC(=NC(=N2)NCCNC3=C4C=CC(=CC4=NC=C3)Cl)C5=CC=CC=C5,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794149&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7287,,,1,0,-5.4207,,,1,0
53617,440812617,137650622,CC1=CC(=NC(=N1)N(CCCNC2=C3C=CC(=CC3=NC=C2)Cl)CC4=CC=CO4)Cl,Inactive,28,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794151&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7029,,,1,0,-5.1145,,,1,0
53618,440810270,137657004,CC1=CC(=NC(=N1)N(CCCNC2=C3C=CC(=CC3=NC=C2)Cl)CC4=CC=CO4)N5CCCCC5,Inactive,30,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794152&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.8003,,,1,0,-5.4202,,,1,0
53619,440798802,137648565,CC1=CC(=NC(=N1)N(CCCNC2=C3C=CC(=CC3=NC=C2)Cl)CC4=CC=CO4)N5CCOCC5,Inactive,26,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794153&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.5585,,,1,0,-4.8961,,,1,0
53620,440815103,137638976,CC1=CC(=NC(=N1)N2CCN(CC2)C)N(CCCNC3=C4C=CC(=CC4=NC=C3)Cl)CC5=CC=CO5,Inactive,21,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794154&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.2577,,,1,0,-4.6562,,,1,0
53621,440808246,137634613,CCN1CCN(CC1)C2=NC(=CC(=N2)N(CCCNC3=C4C=CC(=CC4=NC=C3)Cl)CC5=CC=CO5)C,Inactive,17,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794156&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.0045,,,1,0,-4.5679,,,1,0
53622,440811042,137657482,CC1=CC(=NC(=N1)N(CCNC2=C3C=CC(=CC3=NC=C2)Cl)CC4=CC=CO4)Cl,Inactive,27,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794157&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.5901,,,1,0,-5.0153,,,1,0
53623,440815956,137655273,CC1=CC(=NC(=N1)Cl)N(CCNC2=C3C=CC(=CC3=NC=C2)Cl)CC4=CC=CO4,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794158&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7521,,,1,0,-5.4054,,,1,0
53624,440799073,137651581,CC1=CC(=NC(=N1)N(CCNC2=C3C=CC(=CC3=NC=C2)Cl)CC4=CC=CO4)N5CCN(CC5)C,Inactive,20,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794159&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.2036,,,1,0,-4.6694,,,1,0
53625,440807340,137633177,CC1=CC(=NC(=N1)N(CCNC2=C3C=CC(=CC3=NC=C2)Cl)CC4=CC=CO4)N5CCCC5,Inactive,26,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794160&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.5609,,,1,0,-4,,,1,0
53626,440815081,137654720,CC1=CC(=NC(=N1)N(CCNC2=C3C=CC(=CC3=NC=C2)Cl)CC4=CC=CO4)N5CCCCC5,Inactive,29,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794161&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7187,,,1,0,-5.3037,,,1,0
53627,440799992,137646666,CC1=CC(=NC(=N1)N(CCNC2=C3C=CC(=CC3=NC=C2)Cl)CC4=CC=CO4)N5CCOCC5,Inactive,21,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794162&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.2532,,,1,0,-4.4508,,,1,0
53628,440798982,155807261,CC1=CC(=NC(=N1)NC2CCCC(C2)NC3=C4C=CC(=CC4=NC=C3)Cl)N5CCCC5,Inactive,30,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794163&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.7981,,,1,0,-5.3828,,,1,0
53629,440802098,155809039,CC1=CC(=NC(=N1)NC2CCCC(C2)NC3=C4C=CC(=CC4=NC=C3)Cl)N5CCSCC5,Inactive,27,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794165&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.5942,,,1,0,-5.0976,,,1,0
53630,440797034,155806293,CC1=CC(=NC(=N1)NC2CCCC(C2)NC3=C4C=CC(=CC4=NC=C3)Cl)N5CCN(CC5)C,Inactive,23,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794166&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.3773,,,1,0,-4.7517,,,1,0
53631,440807332,155811964,CC1=CC(=NC(=N1)N2CCCCCC2)N[C@@H]3CCC[C@@H](C3)NC4=C5C=CC(=CC5=NC=C4)Cl,Inactive,28,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794168&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.6927,,,1,0,-5.2649,,,1,0
53632,440807454,155812046,CC1=CC(=NC(=N1)N[C@@H]2CCC[C@@H](C2)NC3=C4C=CC(=CC4=NC=C3)Cl)N5CCOCC5,Inactive,20,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=794169&systemname=NCI+Cancer&idn1=1&idn2=1,,-5.2243,,,1,0,-4.6737,,,1,0
